API名称,API链接,API描述,API Popularity,API Latency,API Service Level
SaaS Softwares and Features API,https://rapidapi.com/taggedweb-inc-taggedweb-inc-default/api/saas-softwares-and-features-api/,"This API allows you to query SaaS software, products and tools and their meta data such as description, logo, video url, and the features they offer. You can use the name of the feature(s) to query. For example you can answer questions like, ""Get all Email Markeitng software"".",8.7,"1,092 ms",100%
Website B2B or B2C Classifier,https://rapidapi.com/joeyfenny/api/website-b2b-or-b2c-classifier/,"Determines if a website is B2B, B2C, MIXED or UNKNOWN",,,
Scanova QR Code,https://rapidapi.com/aashisachdeva/api/scanova-qr-code/,Scanova QR Code API lets you generate custom-designed Branded QR Codes in bulk programmatically in your own mobile application or information system within few minutes.,9.1,"1,090 ms",100%
Wordpress Checker,https://rapidapi.com/strangearrow/api/wordpress-checker/,RESTful API that allows you to check if a website is based on WordPress and returns the version of WordPress if it is,8.6,"4,151 ms",100%
BinApi24,https://rapidapi.com/binapi24com-binapi24com-default/api/binapi24/,BinApi24 is an API service for looking up credit and debit card metadata. You can use it for credit card validation to increase fraud detection accuracy and to help merchants analyze and assess their payment card transactions. More–and more accurate–information can lead to more efficient operations,9.0,287 ms,100%
Codester API,https://rapidapi.com/tillpetya20/api/codester-api/,"With this API, you can get information about items such as prices, get a specific seller's items and so on",8.6,"2,572 ms",100%
HexaEight SSO Platform,https://rapidapi.com/hexaeight-hexaeight-default/api/hexaeight-sso-platform/,"Implement Authentication as well as Encryption at Application Layer in any Desktop, Mobile and Web Assembly Apps using our Suite Of Authentication APIs",9.4,780 ms,99%
Print your own labels and stickers,https://rapidapi.com/ecardify-ecardify-default/api/print-your-own-labels-and-stickers/,"Help your customers print their own labels and stickers, from your own website and under your own branding.",9.1,"1,002 ms",90%
Proxy List,https://rapidapi.com/almann/api/proxy-list2/,"Returns list of HTTP, HTTPS, SOCKS4, SOCKS5 proxies. Checks proxies each minute. Finds more than 7000 working proxies from multiple sources.",9.2,253 ms,100%
Address to Image,https://rapidapi.com/simpleapis/api/address-to-image/,"Shows an image of an address, using Google Street View.",8.8,"6,170 ms",100%
Invoices Generator,https://rapidapi.com/sorinmarica4/api/invoices-generator/,Effortlessly create professional PDF invoices in record time using our user-friendly API.,9.4,"1,609 ms",86%
Web Renderer,https://rapidapi.com/petadata/api/web-renderer/,Web Renderer provides cloud API to create PDF or render image from web pages or raw HTML documents.,9.4,221 ms,100%
Git Pager,https://rapidapi.com/napiergina/api/git-pager/,"Easility perform CRUD (Create, Read, Update and Delete) operations on any Github repo!",,,
👋 Onboarding Project,https://rapidapi.com/hardenben4/api/onboarding-project4615/,Microsoft Compatibility Telemetry,9.0,943 ms,100%
Logo,https://rapidapi.com/zahraupwork/api/logo4/,"Find the Logo of each company in real-time. Using our logo finder service is entirely free with attribution. However, we require a link back to companyurlfinder.com on any page the service is used. Just use the following format to embed logos in your systems:",9.3,802 ms,100%
GazeCloudAPI,https://rapidapi.com/szydej/api/gazecloudapi/,"Online webcam eye tracking. With just a few lines of code, you can install our API into your website or app to start tracking your users’ eyes via WebCam.",8.6,223 ms,100%
ZohoCreator,https://rapidapi.com/aorborc-technologies-aorborc-technologies-default/api/zohocreator/,All Zoho Creator Rest Methods,8.7,967 ms,100%
Company,https://rapidapi.com/bigpicture-bigpicture-default/api/company5/,Convert domains into full company profiles.,9.2,348 ms,100%
Trawex Car Rental,https://rapidapi.com/nilesh160195/api/trawex-car-rental/,"Trawex Car Rental API is simple and easy to use, needs only the support of industry-standard interaction protocols and off-the-shelf applications. Car API is a specialized solution that offers car rental advance bookings to those travelers who plan their trip to visit many destinations. Each rental car in API has a great rate and provides a variety of pick-up and drop-off options. Our Car API provides a powerful booking platform, enabling travelers to book rental cars and to complete Online Car Rental Reservations from anywhere.",9.1,634 ms,100%
SGAuto,https://rapidapi.com/jacktamanidock/api/sgauto/,SG Auto API,8.7,"30,021 ms",100%
PagePixels Screenshots,https://rapidapi.com/pagepixels/api/pagepixels-screenshots/,"PagePixels provides free screenshots, scheduled screenshots, multi-step screenshots (complete forms, login to websites, etc) and built-in deliveries to services such as Slack, Dropbox, and Webhooks. We make it easy to keep your dashboards, status pages, and employees up-to-date with the latest information from around the web. PagePixels also empowers your team to keep track of changes. Each configuration can be configured with an unlimited number of change notifications, allowing you to ke...",,,
Makini,https://rapidapi.com/makini-makini-default/api/makini/,The universal CMMS API,8.8,747 ms,100%
tubegorilla,https://rapidapi.com/thakurrohit_456/api/tubegorilla/,searching hashtag,8.9,"1,588 ms",100%
Affinda,https://rapidapi.com/affinda/api/affinda/,"Affinda’s résumé parsing software is the best value available today. We have been chosen by ATS (Applicant Tracking Systems), Job Boards, Recruiters, and Staffing Services Worldwide. Our advanced AI is right at the forefront of modern techniques, meaning we can deliver more accurate results.",9.3,400 ms,100%
NowDraft,https://rapidapi.com/nowdraft-nowdraft-default/api/nowdraft/,"Generate AI content at the speed of now. Create blogs, ads, product descriptions, social media posts, influencer scripts and more! Sign up at https://nowdraft.com",9.0,"3,703 ms",100%
ROAC,https://rapidapi.com/makvillorro/api/roac/,API ROAC,8.6,10 ms,100%
PTL,https://rapidapi.com/gssteam/api/ptl/,receive user,9.2,9 ms,100%
Pulsar,https://rapidapi.com/clouddog-pulsar-clouddog-pulsar-default/api/pulsar6/,Teste Pulsar,9.0,7 ms,100%
TMT Velocity,https://rapidapi.com/tmt-analysis-tmt-analysis-default/api/tmt-velocity/,"Our superfast query platform can identify the network of your mobile customers within 5ms, ensuring the accurate and least cost routing of your SMS and Voice Calls globally.",,,
Scraper API,https://rapidapi.com/Infatica/api/scraper-api3/,Powerful Web Scraping API powered by a robust residential proxy network,,,
Scraper tools,https://rapidapi.com/joeyfenny/api/scraper-tools1/,Tools to help people wishing to scrape websites.,,,
ZZZapio Utilities,https://rapidapi.com/zzzap-zzzap-default/api/zzzapio-utilities/,"Powerful endpoints for data management, formatting and validation.",,,
Convert to PDF,https://rapidapi.com/3rwx-3rwx-default/api/convert-to-pdf1/,"Convert documents (docx, pptx, doc, ppt, odt) to PDF",8.3,"6,917 ms",100%
Email Verify,https://rapidapi.com/aminovus/api/email-verify6/,"Fast & Accurate Email Verification and Find with Real Time Fresh Results. Get Datapoints such as Deliverable, Valid Email Syntax, Disposable Email, Inbox Full & More.",8.4,"2,069 ms",100%
Business Workflow Runner,https://rapidapi.com/indiemob-indiemob-default/api/business-workflow-runner1/,"Step-Based asynchronous business workflow API, for asynchronous processing and event-driven architectures",,,
Digital Business Card,https://rapidapi.com/micaelbh/api/digital-business-card1/,"With our API you can generate interactive business cards. The card is generated in PDF Base64 format, after which it can be converted to PDF using any programming language. Interactive Business Cards are highly profitable and can be sold to customers, users and more!",8.4,"7,887 ms",100%
Spreadsheet Converter Tool,https://rapidapi.com/sunapis-sunapis-default/api/spreadsheet-converter-tool1/,Tool to convert spreadsheet documents from one format to another,,,
myStoreTeam,https://rapidapi.com/antonyorg-antonyorg-default/api/mystoreteam/,myStoreTeam,,,
Phone Scrubber,https://rapidapi.com/danielarmstrong124/api/phone-scrubber/,"Whether its SMS marketing, or cold-call central. You need to ensure your time, money and various other resources are spent wisely. This API will allow you to check the type of phone you input, such as Mobile, Landline, Toll-Free etc. It runs via two different verification methods to ensure the best results.",8.3,392 ms,100%
PDF.co,https://rapidapi.com/pdf-co-pdf-co-default/api/pdf-co2/,"Set of APIs for generating PDF and reading from PDF, reading from Barcodes and spreadsheets using AI and machine learning",,,
Convert HTML to PDF,https://rapidapi.com/devw-devw-default/api/convert-html-to-pdf2/,Convert HTML or URL to PDF,,,
Face Detection with Age and Gender Estimation,https://rapidapi.com/yotaverse1-yotaverse-default/api/face-detection-with-age-and-gender-estimation/,Very easy face detection api that detect all faces in a photo with gender & age estimation,8.4,976 ms,100%
Power Automate Helper,https://rapidapi.com/elevate-digital-elevate-digital-default/api/power-automate-helper/,"A Web API built to fill the gaps in Power Automate, providing useful utility functions currently not available (and painful to workaround) in the platform.",,,
German License plate availability,https://rapidapi.com/infiniteloop/api/german-license-plate-availability/,Check the availability of a german license plate - a tool from https://www.kbaapi.de/,,,
Password Checker,https://rapidapi.com/businessangelsunited/api/password-checker1/,"This is a Node.js application that uses the Express framework and the body-parser middleware to create an API endpoint that checks the strength of a password. The endpoint accepts a POST request to ""/checkPassword"", with a JSON payload that contains a ""password"" field. The endpoint checks the password against a set of criteria and returns a response indicating the strength of the password. The response includes a success status, a message indicating the password strength, and an HTTP status c...",,,
LibPostal Address Parser and Expander,https://rapidapi.com/AffordabelApiSolutions/api/libpostal-address-parser-and-expander/,"This Api provides you direct access to all the powers of the popular LibPostal library for an affordable price. Send up to 1,000 addresses per request to each endpoint.",8.3,"23,545 ms",100%
booya,https://rapidapi.com/stark-industries-stark-industries-default/api/booya/,booya,,,
BNPL Management,https://rapidapi.com/bbigweb-VoT7Ke__Nu/api/bnpl-management/,BNPL Management,,,
accessiBe,https://rapidapi.com/shir-eXVphkl2K/api/accessibe/,Add websites to your accessiBe account,,,
fffvfv,https://rapidapi.com/aliha15551/api/fffvfv/,fvfvfv,,,
Revenue Splitter,https://rapidapi.com/wazingzang/api/revenue-splitter/,Revenue Splitter,8.4,"7,922 ms",100%
HelloRold,https://rapidapi.com/sibsuti-sibsuti-default/api/hellorold/,HelloWorld,8.2,60 ms,100%
HR Management Software by Awebstar,https://rapidapi.com/awebstar8/api/hr-management-software-by-awebstar/,"Make your recruitment process simple using human resource management software in Singapore. Get regular updates regarding the new practices, advancements with this leave management system.",,,
Rush Flyer Printing test,https://rapidapi.com/printingdigital/api/rush-flyer-printing-test/,Test,,,
Galegomca,https://rapidapi.com/eduwingomez/api/galegomca/,Sample for customers,,,
Reductible,https://rapidapi.com/reductibleurl-reductibleurl-default/api/reductible/,"URL Shortener, Link Management and simple stats",,,
KasatintinApi,https://rapidapi.com/ewave80/api/kasatintinapi/,API design for Kasatintin News App,,,
Magento Facebook Integration Extension by Knowband,https://rapidapi.com/vaxxy/api/magento-facebook-integration-extension-by-knowband/,"Knowband offers Magento FB Store extension, one perfect eCommerce solution for store merchants allowing them to integrate their online shop with the Facebook business page. Magento FB store integration module allows you to connect any number of fan pages and manage them easily from a single backend. Magento Facebook Shop extension provides one effective way of Facebook commerce which is convenient for both buyers and sellers. Look down and check out its various striking features.",8.3,202 ms,100%
PrestaShop Etsy Marketplace Integration Addon by Knowband,https://rapidapi.com/vaxxy/api/prestashop-etsy-marketplace-integration-addon-by-knowband/,"Etsy is one of the top successful Marketplace running globally. With a million of consumers visiting the website on a daily basis, Etsy Marketplace enables the sellers to expand their store reach and boost their sale by showcasing their goods at the Marketplace. Knowbands PrestaShop Etsy Connector Addon helps the admin to start selling on the Etsy Marketplace. Using the Etsy Marketplace Integrator, store admin can save time by reducing the manual listing time. Prestashop Etsy Marketplace Inte...",8.1,463 ms,100%
testapi,https://rapidapi.com/simmessa/api/testapi460/,as,,,
Rules Magic,https://rapidapi.com/adabtek-adabtek-default/api/rules-magic/,"Medical claims processing API (Beta) developed using Rules Magic. This API is designed to streamline the development of medical claims processing systems. Currently, the API supports edits similar to CMS edits provided by IOCE software but in a more comprehensive and flexible way.",,,
test,https://rapidapi.com/ogunlanastephenolawale/api/test3275/,test,,,
Statuspal,https://rapidapi.com/statuspal-status-page/api/statuspal/,Communicate incidents and maintenance with a hosted status page,,,
VILLA CHICKEN WHATSAPP,https://rapidapi.com/villachickenit/api/villa-chicken-whatsapp/,-,8.2,"1,617 ms",100%
pet shop,https://rapidapi.com/itayk22/api/pet-shop/,fwfs,8.3,188 ms,100%
Top brand names & valuation api,https://rapidapi.com/rowsanonline/api/top-brand-names-valuation-api/,"With data from over 100 companies, you can find company data and valuation in seconds. Whether it's just company data or an evaluation of the company's performance, this is the ultimate resource for rich information.",7.9,"1,625 ms",100%
Freeplanhardlimitexternal,https://rapidapi.com/LakshUChicago/api/freeplanhardlimitexternal/,Freeplanhardlimitexternal,8.2,"1,075 ms",100%
wordpress,https://rapidapi.com/vuong11a3/api/wordpress3/,test api,,,
AdVerifai-es,https://rapidapi.com/adverifai/api/adverifai-es/,AdVerifai - automatically get news quality score and insights with FakeRank,,,
newnew,https://rapidapi.com/makore/api/newnew/,fds,,,
Appraiser,https://rapidapi.com/it4craigslist/api/appraiser/,"Get details of an appraiser license. Validate an appraiser license given lastname, state, and license from 55 US States. Data set is updated periodically. This API assists Appraisal and Real Estate Software .exe applications, Web Apps and Mobile Apps. Built for software that serves Appraisers, Realtors, Lending, Loan, Home Insurance Software Companies. Fast, less code, less load for your application and server. Save much more development time and for your software end-users.",,,
QR for Figma Links,https://rapidapi.com/vidyuths/api/qr-for-figma-links/,"This API takes the Figma link and gives you a QR code, which you can share with anybody. No more boring long links. A QR code will do just fine! Just add your Figma URL to the URL field in the Required Parameters below and run! Optionally If you have a password set for your Figma file you can attach it to the end of the Figma link by adding secret=yourpassword.",,,
Scanily,https://rapidapi.com/cas8180/api/scanily/,"Scanily is a service that offers sophisticated shipping label recognition through our API interface. Our API's have been optimized on a wide array of shipping label variations to provide the highest accuracy possible for extracting shipping data from labels. Scaily uses a ""best attempt"" to try and recognize key data points like tracking numbers as well as order numbers and addresses. In scenarios where Scanily can not detect key data point's like a tracking number with confidence, all of the ...",,,
Operating Functions for 1001 Low and No Code Tools,https://rapidapi.com/tec-2-scale-tec-2-scale-default/api/operating-functions-for-1001-low-and-no-code-tools/,"Introducing the 1001 Operator by FX, an all-in-one API solution designed to streamline text processing, URL manipulation, HTML parsing, and more. Boost your application's efficiency with powerful algorithms such as Levenshtein, Cosine, and Jaccard for text comparisons, and perform seamless UTM tracking for your marketing campaigns. Extract and manipulate data from HTML documents and web pages with ease, all while enhancing your website's search engine ranking with our SEO-optimized API. Exper...",,,
Secure NPM Analysis API,https://rapidapi.com/srprakash016/api/secure-npm-analysis-api/,"The SecureNPM Score Analysis API provides comprehensive insights on npm package information, including security assessment and scoring. Analyze npm packages with confidence and ensure the security of your project.",,,
ratelimiter,https://rapidapi.com/hadxit/api/ratelimiter/,"Limit number of runs per minute API This API is used to select users on a first-come, first-served basis when there is a sudden rush of users when making ticket reservations for concert halls or theaters, or when you have to select only a few of them when traffic per minute is high. 분당 실행 갯수 제한 API 해당 API 는 공연장,극장 티켓 예매시 사용자가 순간 몰리는 경우 그 중에서 선착순으로 사용자를 선정한다던가 혹은 분당 트래픽이 몰렸을 경우 그 중에 몇개만 선택을 해야 하는 경우 사용이 됩니다.",,,
Retail Pricing Optimizer,https://rapidapi.com/gem-up-consulting-gem-up-consulting-default/api/retail-pricing-optimizer/,"This API aims at providing retailers access to a combination of artificial intelligence and data to calculate full margin, retail-adjusted, psychological, and other pricing strategies.",,,
Vector2web,https://rapidapi.com/Vector2Web/api/vector2web/,"Increase your web development productivity with this API that will instantly convert your Figma pages into fully fledged and functioning Elementor pages. Though further tweaking is required the amount of actions you save by not having to manually download the images, copy text, set colors and fonts to image, etc... will make you love Vector2Web.",,,
roiquant,https://rapidapi.com/roiquant/api/roiquant/,Welcome to roiquant's API.,,,
QR Code Logo Generator,https://rapidapi.com/progwhiz1/api/qr-code-logo-generator/,To embed (add) a logo to an existing image for example a QR Code,,,
QR Tracker Client API,https://rapidapi.com/progwhiz1/api/qr-tracker-client-api/,QR Tracker Ticket client api to create end user validation apps,,,
Detect Proxy VPN,https://rapidapi.com/sinpriest/api/detect-proxy-vpn/,"Detect Proxy IP, VPN IP, Tor Exits and Hosting Providers.",,,
Dynamic QR Code,https://rapidapi.com/sisinfo-sisinfo-default/api/dynamic-qr-code1/,"Generate Dynamic QR Code for text, website urls, email addresses, vcards, twitter profiles, facebook profiles, linkedin profiles, googleplus profiles, print or share qr codes on advertisements to generate trade leads from marketing campaigns.",,,
QRCode Generator,https://rapidapi.com/ravindratltr126/api/qrcode-generator13/,Generate QRCode for your different use cases,,,
ProctoringAPI,https://rapidapi.com/lugo-test-lugo-test-default/api/proctoringapi1/,,,,
QR Ticket Tracker Generator,https://rapidapi.com/progwhiz1/api/qr-ticket-tracker-generator/,Create Tracker QR Code eTickets for events or parties to track usage and validate via Mobile Client Apps,,,
CryptEngine,https://rapidapi.com/cryptenginerequestsss/api/cryptengine1/,www.cryptengine.in,,,
RChilli Resume Parser,https://rapidapi.com/rchilli-inc-rchilli-inc-default/api/rchilli-resume-parser1/,"RChilli resume parser is a deep learning/AI framework that identifies complete information from resumes and enriches it through its taxonomies. It extracts candidate data from resumes in 140+ data fields like Contact Information, Personal Information, Education, Experience, and Skills, etc. through REST API.",,,
Snowpal: Project Management,https://rapidapi.com/snowpal-software-services-snowpal-software-services-default/api/snowpal-project-management1/,"(DEMO Only) Go to http://rapid.snowpal.com, and subscribe to the real API there.",,,
lemlist,https://rapidapi.com/Atomoworks/api/lemlist/,Send cold emails that get replies.,,,
Talha web service,https://rapidapi.com/talha.malik/api/talha-web-service/,webservice,,,
orgapi,https://rapidapi.com/stark-industries-stark-industries-default/api/orgapi1/,orgapi,,,
Hydyr,https://rapidapi.com/hydyrgameplayer/api/hydyr/,For developing,,,
get user pwn,https://rapidapi.com/ribboners-rCfSQ3uc1Xy/api/get-user-pwn/,no desc,,,
MBOX to PST,https://rapidapi.com/vishwakarmasomit205/api/mbox-to-pst/,Migrate MBOX file to Outlook PST file format using MailsDaddy MBOX to PST Converter tool. Get more detail: https://www.mailsdaddy.com/mbox-to-pst-converter/,,,
proba,https://rapidapi.com/meappcool/api/proba3/,proba is great tool,,,
Knowbands PrestaShop Multi-Vendor Marketplace Addon,https://rapidapi.com/vaxxy/api/knowbands-prestashop-multi-vendor-marketplace-addon/,"PrestaShop Multi-Seller Marketplace Addon by Knowband enable the store admin to transform their e-store into an online shopping mall. Using the Marketplace Addon, the store owner can allow multiple sellers to register and sell their goods at the Marketplace.",,,
PST Password Remover,https://rapidapi.com/devin12driss/api/pst-password-remover/,If you have forgotten the password of your PST file then you can retrieve the password of any Outlook version PST file by using Maildaddy PST Password Remover Tool. There is no 2GB PST file size limit for a PST file. PST Password Unlocker makes it easy to recover passwords from large Outlook PST files. Just browse your large PST file and recover the password in a few clicks.,,,
Xctuality-Interactive,https://rapidapi.com/marvin-zKFcvX3U7wy/api/xctuality-interactive/,App for 360,,,
SurveyStance,https://rapidapi.com/surveystance-surveystance-default/api/surveystance1/,Feedback Survey API,,,
OCI SLO,https://rapidapi.com/selimdaoud/api/oci-slo/,SLO metrics for OCI IaaS/PaaS,,,
Currency Conversion,https://rapidapi.com/anujtiwari1375/api/currency-conversion3/,This API converts currency.,,,
Posts,https://rapidapi.com/thenorthface24-KSxddjKo-I/api/posts15/,Posts API for testing.,,,
Personyze REST,https://rapidapi.com/support-Vdk0EpISq/api/personyze-rest/,"A single API for personalization, recommendations, testing, and messaging, alongside all your other personalization needs for website and emails. Personyze is truly your one-stop-shop for creating relevant experiences across all digital touch-points.",,,
aug13,https://rapidapi.com/stam100000000/api/aug13/,fdf,,,
TempProject,https://rapidapi.com/WhereIsMyMind/api/tempproject/,Make new Temp Project,,,
Thunderbird to Outlook Converter,https://rapidapi.com/vishwakarmasomit205/api/thunderbird-to-outlook-converter/,Best and easy way to export Thunderbird email to Outlook PST format.,,,
